PMID	Title	Authors	Citation	First Author	Journal/Book	Publication Year	Create Date	PMCID	NIHMS ID	DATA_PUBMED	DOI	PUBMED	AOU	id	OPENALEX	DOI_OPENALEX	ID_OPENALEX	is_oa	oa_status	date_openalex	PMID_OPENALEX
24920216	Second Global Symposium on Health Systems Research: a conference impact evaluation	Milko E, Wu D, Neves J, Neubecker AW, Lavis J, Ranson MK.	Health Policy Plan. 2015 Jun;30(5):612-23. doi: 10.1093/heapol/czu040. Epub 2014 Jun 11.	Milko E	Health Policy Plan	2015	2014/06/13	PMC4421833		1	10.1093/HEAPOL/CZU040	1	0		0					0	0
24947201	Is Dysfunctional Use of the Mobile Phone a Behavioural Addiction? Confronting Symptom-Based Versus Process-Based Approaches	Billieux J, Philippot P, Schmid C, Maurage P, De Mol J, Van der Linden M.	Clin Psychol Psychother. 2015 Sep-Oct;22(5):460-8. doi: 10.1002/cpp.1910. Epub 2014 Jun 19.	Billieux J	Clin Psychol Psychother	2015	2014/06/21			1	10.1002/CPP.1910	1	0		0					0	0
25032819	Vitamin D time profile based on the contribution of non-genetic and genetic factors in HIV-infected individuals of European ancestry	Guidi M, Foletti G, McLaren P, Cavassini M, Rauch A, Tarr PE, Lamy O, Panchaud A, Telenti A, Csajka C, Rotger M; Swiss HIV Cohort Study.	Antivir Ther. 2015;20(3):261-9. doi: 10.3851/IMP2823. Epub 2014 Jul 17.	Guidi M	Antivir Ther	2015	2014/07/18			1	10.3851/IMP2823	1	0		0					0	0
25037924	fMRI of Simultaneous Interpretation Reveals the Neural Basis of Extreme Language Control	Hervais-Adelman A, Moser-Mercer B, Michel CM, Golestani N.	Cereb Cortex. 2015 Dec;25(12):4727-39. doi: 10.1093/cercor/bhu158. Epub 2014 Jul 17.	Hervais-Adelman A	Cereb Cortex	2015	2014/07/20			1	10.1093/CERCOR/BHU158	1	0		0					0	0
25062841	Violence-related PTSD and neural activation when seeing emotionally charged male-female interactions	Moser DA, Aue T, Suardi F, Kutlikova H, Cordero MI, Rossignol AS, Favez N, Rusconi Serpa S, Schechter DS.	Soc Cogn Affect Neurosci. 2015 May;10(5):645-53. doi: 10.1093/scan/nsu099. Epub 2014 Jul 25.	Moser DA	Soc Cogn Affect Neurosci	2015	2014/07/27	PMC4420740		1	10.1093/SCAN/NSU099	1	0		0					0	0
25087689	A lock-in thermal imaging setup for dermatological applications	Bonmarin M, Le Gal FA.	Skin Res Technol. 2015 Aug;21(3):284-90. doi: 10.1111/srt.12189. Epub 2014 Aug 4.	Bonmarin M	Skin Res Technol	2015	2014/08/05			1	10.1111/SRT.12189	1	0		0					0	0
25099920	Single acquisition electrical property mapping based on relative coil sensitivities: A proof-of-concept demonstration	Marques JP, Sodickson DK, Ipek O, Collins CM, Gruetter R.	Magn Reson Med. 2015 Jul;74(1):185-195. doi: 10.1002/mrm.25399. Epub 2014 Aug 5.	Marques JP	Magn Reson Med	2015	2014/08/08	PMC4458244	NIHMS689993	1	10.1002/MRM.25399	1	0		0					0	0
25105471	Excited-state dynamics of 3-hydroxyflavone anion in alcohols	Dereka B, Letrun R, Svechkarev D, Rosspeintner A, Vauthey E.	J Phys Chem B. 2015 Feb 12;119(6):2434-43. doi: 10.1021/jp507311n. Epub 2014 Aug 19.	Dereka B	J Phys Chem B	2015	2014/08/09			1	10.1021/JP507311N	1	0		0					0	0
25123647	Circulating Proteomic Signatures of Chronological Age	Menni C, Kiddle SJ, Mangino M, Viñuela A, Psatha M, Steves C, Sattlecker M, Buil A, Newhouse S, Nelson S, Williams S, Voyle N, Soininen H, Kloszewska I, Mecocci P, Tsolaki M, Vellas B, Lovestone S, Spector TD, Dobson R, Valdes AM.	J Gerontol A Biol Sci Med Sci. 2015 Jul;70(7):809-16. doi: 10.1093/gerona/glu121. Epub 2014 Aug 14.	Menni C	J Gerontol A Biol Sci Med Sci	2015	2014/08/16	PMC4469006		1	10.1093/GERONA/GLU121	1	0		0					0	0
25146304	Neuropathological Techniques to Investigate CNS Pathology in Experimental Autoimmune Encephalomyelitis (EAE)	Steinbach K, Merkler D.	Methods Mol Biol. 2016;1304:189-209. doi: 10.1007/7651_2014_110.	Steinbach K	Methods Mol Biol	2016	2014/08/23			1	10.1007/7651_2014_110	1	0		0					0	0
25182248	Effect of high-intensity statin therapy on atherosclerosis in non-infarct-related coronary arteries (IBIS-4): a serial intravascular ultrasonography study	Räber L, Taniwaki M, Zaugg S, Kelbæk H, Roffi M, Holmvang L, Noble S, Pedrazzini G, Moschovitis A, Lüscher TF, Matter CM, Serruys PW, Jüni P, Garcia-Garcia HM, Windecker S; IBIS 4 (Integrated Biomarkers and Imaging Study-4) Trial Investigators (NCT00962416).	Eur Heart J. 2015 Feb 21;36(8):490-500. doi: 10.1093/eurheartj/ehu373. Epub 2014 Sep 2.	Räber L	Eur Heart J	2015	2014/09/04			1	10.1093/EURHEARTJ/EHU373	1	0		0					0	0
25185212	Low-frequency versus high-frequency stimulation of the pedunculopontine nucleus area in Parkinson's disease: a randomised controlled trial	Nosko D, Ferraye MU, Fraix V, Goetz L, Chabardès S, Pollak P, Debû B.	J Neurol Neurosurg Psychiatry. 2015 Jun;86(6):674-9. doi: 10.1136/jnnp-2013-307511. Epub 2014 Sep 2.	Nosko D	J Neurol Neurosurg Psychiatry	2015	2014/09/04			1	10.1136/JNNP-2013-307511	1	0		0					0	0
25193994	Adult lung function and long-term air pollution exposure. ESCAPE: a multicentre cohort study and meta-analysis	Adam M, Schikowski T, Carsin AE, Cai Y, Jacquemin B, Sanchez M, Vierkötter A, Marcon A, Keidel D, Sugiri D, Al Kanani Z, Nadif R, Siroux V, Hardy R, Kuh D, Rochat T, Bridevaux PO, Eeftens M, Tsai MY, Villani S, Phuleria HC, Birk M, Cyrys J, Cirach M, de Nazelle A, Nieuwenhuijsen MJ, Forsberg B, de Hoogh K, Declerq C, Bono R, Piccioni P, Quass U, Heinrich J, Jarvis D, Pin I, Beelen R, Hoek G, Brunekreef B, Schindler C, Sunyer J, Krämer U, Kauffmann F, Hansell AL, Künzli N, Probst-Hensch N.	Eur Respir J. 2015 Jan;45(1):38-50. doi: 10.1183/09031936.00130014. Epub 2014 Sep 5.	Adam M	Eur Respir J	2015	2014/09/07	PMC4318659		1	10.1183/09031936.00130014	1	0		0					0	0
25214320	Impact of common risk factors of fibrosis progression in chronic hepatitis C	Rüeger S, Bochud PY, Dufour JF, Müllhaupt B, Semela D, Heim MH, Moradpour D, Cerny A, Malinverni R, Booth DR, Suppiah V, George J, Argiro L, Halfon P, Bourlière M, Talal AH, Jacobson IM, Patin E, Nalpas B, Poynard T, Pol S, Abel L, Kutalik Z, Negro F.	Gut. 2015 Oct;64(10):1605-15. doi: 10.1136/gutjnl-2014-306997. Epub 2014 Sep 11.	Rüeger S	Gut	2015	2014/09/13			1	10.1136/GUTJNL-2014-306997	1	0		0					0	0
25227773	Neuroarthropathy of the foot revealing primary systemic amyloidosis: case report and literature review	Andrei IA, Kuntzer T, Lobrinus JA, Jaccard A, Zufferey P.	Clin Rheumatol. 2016 Feb;35(2):535-9. doi: 10.1007/s10067-014-2782-0. Epub 2014 Sep 18.	Andrei IA	Clin Rheumatol	2016	2014/09/18			1	10.1007/S10067-014-2782-0	1	0		0					0	0
25236395	Essential versus accessory aspects of cell death: recommendations of the NCCD 2015	Galluzzi L, Bravo-San Pedro JM, Vitale I, Aaronson SA, Abrams JM, Adam D, Alnemri ES, Altucci L, Andrews D, Annicchiarico-Petruzzelli M, Baehrecke EH, Bazan NG, Bertrand MJ, Bianchi K, Blagosklonny MV, Blomgren K, Borner C, Bredesen DE, Brenner C, Campanella M, Candi E, Cecconi F, Chan FK, Chandel NS, Cheng EH, Chipuk JE, Cidlowski JA, Ciechanover A, Dawson TM, Dawson VL, De Laurenzi V, De Maria R, Debatin KM, Di Daniele N, Dixit VM, Dynlacht BD, El-Deiry WS, Fimia GM, Flavell RA, Fulda S, Garrido C, Gougeon ML, Green DR, Gronemeyer H, Hajnoczky G, Hardwick JM, Hengartner MO, Ichijo H, Joseph B, Jost PJ, Kaufmann T, Kepp O, Klionsky DJ, Knight RA, Kumar S, Lemasters JJ, Levine B, Linkermann A, Lipton SA, Lockshin RA, López-Otín C, Lugli E, Madeo F, Malorni W, Marine JC, Martin SJ, Martinou JC, Medema JP, Meier P, Melino S, Mizushima N, Moll U, Muñoz-Pinedo C, Nuñez G, Oberst A, Panaretakis T, Penninger JM, Peter ME, Piacentini M, Pinton P, Prehn JH, Puthalakath H, Rabinovich GA, Ravichandran KS, Rizzuto R, Rodrigues CM, Rubinsztein DC, Rudel T, Shi Y, Simon HU, Stockwell BR, Szabadkai G, Tait SW, Tang HL, Tavernarakis N, Tsujimoto Y, Vanden Berghe T, Vandenabeele P, Villunger A, Wagner EF, et al.	Cell Death Differ. 2015 Jan;22(1):58-73. doi: 10.1038/cdd.2014.137. Epub 2014 Sep 19.	Galluzzi L	Cell Death Differ	2015	2014/09/20	PMC4262782		1	10.1038/CDD.2014.137	1	0		0					0	0
25240157	Method development for the separation of monoclonal antibody charge variants in cation exchange chromatography, Part I: salt gradient approach	Fekete S, Beck A, Fekete J, Guillarme D.	J Pharm Biomed Anal. 2015 Jan;102:33-44. doi: 10.1016/j.jpba.2014.08.035. Epub 2014 Sep 8.	Fekete S	J Pharm Biomed Anal	2015	2014/09/21			0	10.1016/J.JPBA.2014.08.035	1	0		0					0	0
25244409	Zur (FurB) is a key factor in the control of the oxidative stress response in Anabaena sp. PCC 7120	Sein-Echaluce VC, González A, Napolitano M, Luque I, Barja F, Peleato ML, Fillat MF.	Environ Microbiol. 2015 Jun;17(6):2006-17. doi: 10.1111/1462-2920.12628. Epub 2014 Oct 22.	Sein-Echaluce VC	Environ Microbiol	2015	2014/09/23			1	10.1111/1462-2920.12628	1	0		0					0	0
25244532	Complex syntax in autism spectrum disorders: a study of relative clauses	Durrleman S, Hippolyte L, Zufferey S, Iglesias K, Hadjikhani N.	Int J Lang Commun Disord. 2015 Mar-Apr;50(2):260-7. doi: 10.1111/1460-6984.12130. Epub 2014 Sep 19.	Durrleman S	Int J Lang Commun Disord	2015	2014/09/23			1	10.1111/1460-6984.12130	1	0		0					0	0
25246508	Functional Dissociations Within Posterior Parietal Cortex During Scene Integration and Viewpoint Changes	van Assche M, Kebets V, Vuilleumier P, Assal F.	Cereb Cortex. 2016 Feb;26(2):586-598. doi: 10.1093/cercor/bhu215. Epub 2014 Sep 21.	van Assche M	Cereb Cortex	2016	2014/09/24			1	10.1093/CERCOR/BHU215	1	0		0					0	0
25252132	The use of mass spectrometry to analyze dried blood spots	Wagner M, Tonoli D, Varesio E, Hopfgartner G.	Mass Spectrom Rev. 2016 May-Jun;35(3):361-438. doi: 10.1002/mas.21441. Epub 2014 Sep 22.	Wagner M	Mass Spectrom Rev	2016	2014/09/25			1	10.1002/MAS.21441	1	0		0					0	0
25265294	Mood effects on memory and executive control in a real-life situation	Lagner P, Kliegel M, Phillips LH, Ihle A, Hering A, Ballhausen N, Schnitzspahn KM.	Cogn Emot. 2015;29(6):1107-16. doi: 10.1080/02699931.2014.962486. Epub 2014 Sep 29.	Lagner P	Cogn Emot	2015	2014/09/30			1	10.1080/02699931.2014.962486	1	0		0					0	0
25280568	New Pipeline Flex device: initial experience and technical nuances	Pereira VM, Kelly M, Vega P, Murias E, Yilmaz H, Erceg G, Pellaton A, Lovblad KO, Krings T.	J Neurointerv Surg. 2015 Dec;7(12):920-5. doi: 10.1136/neurintsurg-2014-011347. Epub 2014 Oct 3.	Pereira VM	J Neurointerv Surg	2015	2014/10/05			1	10.1136/NEURINTSURG-2014-011347	1	0		0					0	0
25305571	Laparoscopic resection of a rare, large broad ligament myoma	Song JY.	J Minim Invasive Gynecol. 2015 May-Jun;22(4):530-1. doi: 10.1016/j.jmig.2014.10.003. Epub 2014 Oct 8.	Song JY	J Minim Invasive Gynecol	2015	2014/10/12			0	10.1016/J.JMIG.2014.10.003	1	0		0					0	0
25308743	Measuring symptoms and diagnosing mental disorders in the elderly community: the test-retest reliability of the CIDI65	Wittchen HU, Strehle J, Gerschler A, Volkert J, Dehoust MC, Sehner S, Wegscheider K, Ausìn B, Canuto A, Crawford M, Da Ronch C, Grassi L, Hershkovitz Y, Munoz M, Quirk A, Rotenstein O, Santos-Olmo AB, Shalev A, Weber K, Schulz H, Härter M, Andreas S.	Int J Methods Psychiatr Res. 2015 Jun;24(2):116-29. doi: 10.1002/mpr.1455. Epub 2014 Oct 13.	Wittchen HU	Int J Methods Psychiatr Res	2015	2014/10/14	PMC6878578		1	10.1002/MPR.1455	1	0		0					0	0
25308952	Corneal biomechanical properties in patients with Graves' Disease	Panos GD, Song X, Hafezi F, Seitz B, Langenbucher A, Gatzioufas Z.	Acta Ophthalmol. 2015 Jun;93(4):e320-1. doi: 10.1111/aos.12563. Epub 2014 Oct 12.	Panos GD	Acta Ophthalmol	2015	2014/10/14			1	10.1111/AOS.12563	1	0		0					0	0
25326270	Erratum to: a resting state functional magnetic resonance imaging study of concussion in collegiate athletes	Czerniak SM, Sikoglu EM, Liso Navarro AA, McCafferty J, Eisenstock J, Stevenson JH, King JA, Moore CM.	Brain Imaging Behav. 2015 Sep;9(3):650. doi: 10.1007/s11682-014-9328-6.	Czerniak SM	Brain Imaging Behav	2015	2014/10/19			1	10.1007/S11682-014-9328-6	1	0		0					0	0
25332395	Updates in Rhea--a manually curated resource of biochemical reactions	Morgat A, Axelsen KB, Lombardot T, Alcántara R, Aimo L, Zerara M, Niknejad A, Belda E, Hyka-Nouspikel N, Coudert E, Redaschi N, Bougueleret L, Steinbeck C, Xenarios I, Bridge A.	Nucleic Acids Res. 2015 Jan;43(Database issue):D459-64. doi: 10.1093/nar/gku961. Epub 2014 Oct 20.	Morgat A	Nucleic Acids Res	2015	2014/10/22	PMC4384025		1	10.1093/NAR/GKU961	1	0		0					0	0
25342074	The impact of cognitive control on children's goal monitoring in a time-based prospective memory task	Mahy CE, Voigt B, Ballhausen N, Schnitzspahn K, Ellis J, Kliegel M.	Child Neuropsychol. 2015;21(6):823-39. doi: 10.1080/09297049.2014.967202. Epub 2014 Oct 24.	Mahy CE	Child Neuropsychol	2015	2014/10/25			1	10.1080/09297049.2014.967202	1	0		0					0	0
25348399	HAMAP in 2015: updates to the protein family classification and annotation system	Pedruzzi I, Rivoire C, Auchincloss AH, Coudert E, Keller G, de Castro E, Baratin D, Cuche BA, Bougueleret L, Poux S, Redaschi N, Xenarios I, Bridge A.	Nucleic Acids Res. 2015 Jan;43(Database issue):D1064-70. doi: 10.1093/nar/gku1002. Epub 2014 Oct 27.	Pedruzzi I	Nucleic Acids Res	2015	2014/10/29	PMC4383873		1	10.1093/NAR/GKU1002	1	0		0					0	0
25352639	Angiotensin II induces interleukin-1β-mediated islet inflammation and β-cell dysfunction independently of vasoconstrictive effects	Sauter NS, Thienel C, Plutino Y, Kampe K, Dror E, Traub S, Timper K, Bédat B, Pattou F, Kerr-Conte J, Jehle AW, Böni-Schnetzler M, Donath MY.	Diabetes. 2015 Apr;64(4):1273-83. doi: 10.2337/db14-1282. Epub 2014 Oct 28.	Sauter NS	Diabetes	2015	2014/10/30			1	10.2337/DB14-1282	1	0		0					0	0
25359277	Adsorption and recovery issues of recombinant monoclonal antibodies in reversed-phase liquid chromatography	Fekete S, Beck A, Wagner E, Vuignier K, Guillarme D.	J Sep Sci. 2015 Jan;38(1):1-8. doi: 10.1002/jssc.201400996. Epub 2014 Dec 9.	Fekete S	J Sep Sci	2015	2014/11/01			1	10.1002/JSSC.201400996	1	0		0					0	0
25361078	Granzyme B-induced mitochondrial ROS are required for apoptosis	Jacquemin G, Margiotta D, Kasahara A, Bassoy EY, Walch M, Thiery J, Lieberman J, Martinvalet D.	Cell Death Differ. 2015 May;22(5):862-74. doi: 10.1038/cdd.2014.180. Epub 2014 Oct 31.	Jacquemin G	Cell Death Differ	2015	2014/11/01	PMC4392081		1	10.1038/CDD.2014.180	1	0		0					0	0
25363489	Molecular Phylogeny and Morphology of Leannia veloxifera n. gen. et sp. Unveils a New Lineage of Monothalamous Foraminifera	Apothéloz-Perret-Gentil L, Pawlowski J.	J Eukaryot Microbiol. 2015 May-Jun;62(3):353-61. doi: 10.1111/jeu.12190. Epub 2014 Nov 27.	Apothéloz-Perret-Gentil L	J Eukaryot Microbiol	2015	2014/11/04			1	10.1111/JEU.12190	1	0		0					0	0
25366714	First-In-Man Procedural Experience with the Novel EmboTrap® Revascularization Device for the Treatment of Ischemic Stroke-A European Multicenter Series	Kabbasch C, Mpotsaris A, Liebig T, Söderman M, Holtmannspötter M, Cronqvist M, Thornton J, Mendes Pereira V, Andersson T.	Clin Neuroradiol. 2016 Jun;26(2):221-8. doi: 10.1007/s00062-014-0352-0. Epub 2014 Nov 1.	Kabbasch C	Clin Neuroradiol	2016	2014/11/05			1	10.1007/S00062-014-0352-0	1	0		0					0	0
25376931	Distorting the history of evolutionary thought in conceptual development research	Kampourakis K.	Cogn Sci. 2015 May;39(4):833-7. doi: 10.1111/cogs.12198. Epub 2014 Nov 6.	Kampourakis K	Cogn Sci	2015	2014/11/08			1	10.1111/COGS.12198	1	0		0					0	0
25377053	The need for interdisciplinary dialog in evolution education: a comment on the responses by Ware & Gelman and Shtulman	Kampourakis K.	Cogn Sci. 2015 May;39(4):846-8. doi: 10.1111/cogs.12200. Epub 2014 Nov 7.	Kampourakis K	Cogn Sci	2015	2014/11/08			1	10.1111/COGS.12200	1	0		0					0	0
25389065	Defensive weapons and defense signals in plants: some metabolites serve both roles	Maag D, Erb M, Köllner TG, Gershenzon J.	Bioessays. 2015 Feb;37(2):167-74. doi: 10.1002/bies.201400124. Epub 2014 Nov 12.	Maag D	Bioessays	2015	2014/11/13			1	10.1002/BIES.201400124	1	0		0					0	0
25402633	RNA interference screening identifies a novel role for PCTK1/CDK16 in medulloblastoma with c-Myc amplification	Ćwiek P, Leni Z, Salm F, Dimitrova V, Styp-Rekowska B, Chiriano G, Carroll M, Höland K, Djonov V, Scapozza L, Guiry P, Arcaro A.	Oncotarget. 2015 Jan 1;6(1):116-29. doi: 10.18632/oncotarget.2699.	Ćwiek P	Oncotarget	2015	2014/11/18	PMC4381582		1	10.18632/ONCOTARGET.2699	1	0		0					0	0
25406120	The last step in cocaine biosynthesis is catalyzed by a BAHD acyltransferase	Schmidt GW, Jirschitzka J, Porta T, Reichelt M, Luck K, Torre JC, Dolke F, Varesio E, Hopfgartner G, Gershenzon J, D'Auria JC.	Plant Physiol. 2015 Jan;167(1):89-101. doi: 10.1104/pp.114.248187. Epub 2014 Nov 18.	Schmidt GW	Plant Physiol	2015	2014/11/20	PMC4281001		1	10.1104/PP.114.248187	1	0		0					0	0
25418961	Electron, Hole, Singlet, and Triplet Energy Transfer in Photoexcited Porphyrin-Naphthalenediimide Dyads	Yushchenko O, Hangarge RV, Mosquera-Vazquez S, Boshale SV, Vauthey E.	J Phys Chem B. 2015 Jun 18;119(24):7308-20. doi: 10.1021/jp5108685. Epub 2014 Dec 8.	Yushchenko O	J Phys Chem B	2015	2014/11/25			1	10.1021/JP5108685	1	0		0					0	0
25428371	The InterPro protein families database: the classification resource after 15 years	Mitchell A, Chang HY, Daugherty L, Fraser M, Hunter S, Lopez R, McAnulla C, McMenamin C, Nuka G, Pesseat S, Sangrador-Vegas A, Scheremetjew M, Rato C, Yong SY, Bateman A, Punta M, Attwood TK, Sigrist CJ, Redaschi N, Rivoire C, Xenarios I, Kahn D, Guyot D, Bork P, Letunic I, Gough J, Oates M, Haft D, Huang H, Natale DA, Wu CH, Orengo C, Sillitoe I, Mi H, Thomas PD, Finn RD.	Nucleic Acids Res. 2015 Jan;43(Database issue):D213-21. doi: 10.1093/nar/gku1243. Epub 2014 Nov 26.	Mitchell A	Nucleic Acids Res	2015	2014/11/28	PMC4383996		1	10.1093/NAR/GKU1243	1	0		0					0	0
25444711	Looking and touching: what extant approaches reveal about the structure of early word knowledge	Hendrickson K, Mitsven S, Poulin-Dubois D, Zesiger P, Friend M.	Dev Sci. 2015 Sep;18(5):723-35. doi: 10.1111/desc.12250. Epub 2014 Nov 28.	Hendrickson K	Dev Sci	2015	2014/12/03	PMC4447618	NIHMS627721	1	10.1111/DESC.12250	1	0		0					0	0
25467016	Neoadjuvant treatment with docetaxel plus lapatinib, trastuzumab, or both followed by an anthracycline-based chemotherapy in HER2-positive breast cancer: results of the randomised phase II EORTC 10054 study	Bonnefoi H, Jacot W, Saghatchian M, Moldovan C, Venat-Bouvet L, Zaman K, Matos E, Petit T, Bodmer A, Quenel-Tueux N, Chakiba C, Vuylsteke P, Jerusalem G, Brain E, Tredan O, Messina CG, Slaets L, Cameron D.	Ann Oncol. 2015 Feb;26(2):325-32. doi: 10.1093/annonc/mdu551. Epub 2014 Dec 1.	Bonnefoi H	Ann Oncol	2015	2014/12/04	PMC4304382		1	10.1093/ANNONC/MDU551	1	0		0					0	0
25469857	Alkaloids from psychotria target sirtuins: in silico and in vitro interaction studies	Sacconnay L, Ryckewaert L, Dos Santos Passos C, Guerra MC, Kato L, Alves de Oliveira CM, Henriques A, Carrupt PA, Simões-Pires C, Nurisso A.	Planta Med. 2015 Apr;81(6):517-24. doi: 10.1055/s-0034-1383261. Epub 2014 Dec 3.	Sacconnay L	Planta Med	2015	2014/12/04			1	10.1055/S-0034-1383261	1	0		0					0	0
25482016	Functional connectivity mapping of regions associated with self- and other-processing	Murray RJ, Debbané M, Fox PT, Bzdok D, Eickhoff SB.	Hum Brain Mapp. 2015 Apr;36(4):1304-24. doi: 10.1002/hbm.22703. Epub 2014 Dec 6.	Murray RJ	Hum Brain Mapp	2015	2014/12/09	PMC4791034	NIHMS764317	1	10.1002/HBM.22703	1	0		0					0	0
25486918	Quantification in MALDI-MS imaging: what can we learn from MALDI-selected reaction monitoring and what can we expect for imaging?	Porta T, Lesur A, Varesio E, Hopfgartner G.	Anal Bioanal Chem. 2015 Mar;407(8):2177-87. doi: 10.1007/s00216-014-8315-5. Epub 2014 Dec 9.	Porta T	Anal Bioanal Chem	2015	2014/12/10			1	10.1007/S00216-014-8315-5	1	0		0					0	0
25501641	Human exposure to mercury in artisanal small-scale gold mining areas of Kedougou region, Senegal, as a function of occupational activity and fish consumption	Niane B, Guédron S, Moritz R, Cosio C, Ngom PM, Deverajan N, Pfeifer HR, Poté J.	Environ Sci Pollut Res Int. 2015 May;22(9):7101-11. doi: 10.1007/s11356-014-3913-5. Epub 2014 Dec 12.	Niane B	Environ Sci Pollut Res Int	2015	2014/12/16			1	10.1007/S11356-014-3913-5	1	0		0					0	0
25504458	An empirical test of the independence between declarative and procedural working memory in Oberauer's (2009) theory	Barrouillet P, Corbin L, Dagry I, Camos V.	Psychon Bull Rev. 2015 Aug;22(4):1035-40. doi: 10.3758/s13423-014-0787-y.	Barrouillet P	Psychon Bull Rev	2015	2014/12/16			1	10.3758/S13423-014-0787-Y	1	0		0					0	0
25516995	Physicochemical aspects and efficiency of albuterol nebulization: comparison of three aerosol types in an in vitro pediatric model	Sidler-Moix AL, Di Paolo ER, Dolci U, Berger-Gryllaki M, Cotting J, Pannatier A.	Respir Care. 2015 Jan;60(1):38-46. doi: 10.4187/respcare.02490. Epub 2014 Dec 16.	Sidler-Moix AL	Respir Care	2015	2014/12/18			1	10.4187/RESPCARE.02490	1	0		0					0	0
25522255	Brain energy metabolism measured by (13)C magnetic resonance spectroscopy in vivo upon infusion of [3-(13)C]lactate	Duarte JM, Girault FM, Gruetter R.	J Neurosci Res. 2015 Jul;93(7):1009-18. doi: 10.1002/jnr.23531. Epub 2014 Dec 17.	Duarte JM	J Neurosci Res	2015	2014/12/19			1	10.1002/JNR.23531	1	0		0					0	0
