773t	COUNT
Biomedical optics express	1
Bioorganic & medicinal chemistry	1
Bioorganic & medicinal chemistry letters	1
Biophysical journal	1
Biopolymers	1
Bipolar Disorders	1
Blood	2
Bone Marrow Transplantation	3
Brain	4
Brain and Behavior	3
Brain and behavior	1
Brain sciences	2
Brain topography	1
Brain, Behavior and Immunity	1
Breast	1
Breast cancer research and treatment	1
British Journal of Ophthalmology	1
British journal of clinical pharmacology	1
British journal of haematology	1
Bulletin of the World Health Organization	1
Canadian Journal of Neurological Sciences	1
Canadian Medical Association Journal	1
Cancer Cell	2
Cancer Cytopathology	1
Cancer Discovery	1
Cancer Immunology Research	3
Cancer Letters	1
Cancer Research	3
Cancer radiothérapie	1
Cancers	1
Carbohydrate polymers	1
Cardiovascular Diabetology	1
Cardiovascular Research	1
Caspian journal of internal medicine	1
Cell	7
Cell Metabolism	3
Cell Reports	4
Cell Stress	1
Cell chemical biology	1
Cell death and differentiation	1
Cell host & microbe	2
Cell reports	3
Cells	4
Cellular Physiology and Biochemistry	1
Cellular and molecular life sciences	1
Cerebral Cortex	1
Cerebral cortex	4
Cerebral cortex communications	1
ChemBioChem	1
Chemical Senses	1
Chemical reviews	1
Chemical science	2
Chemistry	7
Chemistry of materials	1
ChemistryOpen	1
Chemosphere	3
Children	1
Circulation	3
Circulation. Cardiovascular Interventions	2
Circulation. Cardiovascular interventions	1
Circulation. Genomic and precision medicine	1
Clinica chimica acta	1
Clinical Cancer Research	1
Clinical Endocrinology	1
Clinical Implant Dentistry and Related Research	1
Clinical Infectious Diseases	1
Clinical Microbiology and Infection	1
Clinical Nutrition	1
Clinical Nutrition ESPEN	1
Clinical Oral Investigations	1
Clinical Pharmacokinetics	1
Clinical Transplantation	1
Clinical and Experimental Immunology	1
Clinical linguistics & phonetics	1
Clinical lymphoma myeloma & leukemia	1
Clinical microbiology and infection	3
Clinical neurophysiology	1
Clinical nutrition	1
Clinical oral implants research	1
Clinical orthopaedics and related research	1
Cognition	1
Cognition and emotion	2
Cognitive science	1
Cold Spring Harbor protocols	1
Comparative political studies	1
Computers in biology and medicine	1
Conflict and health	1
Conservation Biology	1
Conservation biology	2
Contemporary clinical trials communications	1
Cornea	1
Cortex	1
Current Infectious Disease Reports	2
Current Opinion in Neurobiology	1
Current Opinion in Pediatrics	1
Current Psychiatry Reports	1
Current Research in Translational Medicine	1
Current biology	8
Current opinion in biotechnology	1
Current opinion in cell biology	1
Current opinion in chemical biology	1
Current opinion in genetics & development	1
Current opinion in microbiology	2
Current opinion in neurology	1
Current opinion in structural biology	1
Current pediatric reviews	1
Dalton transactions	4
Data in brief	1
Database	2
Dementia and Geriatric Cognitive Disorders	1
Dental materials	3
Der Ophthalmologe	1
Dermatitis	1
Development	4
Developmental Science	1
Developmental cell	3
Developmental science	1
Diabetes Research and Clinical Practice	1
Digital Personalized Health and Medicine	1
Digital health	1
Disability and rehabilitation	1
Drug and alcohol dependence	1
Drug and alcohol review	1
Drug safety	1
EBioMedicine	1
EFORT Open Reviews	1
EMBO Molecular Medicine	1
EMBO journal	2
EMBO molecular medicine	1
EPJ data science	1
ERJ open research	1
ESC heart failure	1
Early Human Development	1
Early Intervention in Psychiatry	1
Early human development	1
Ecology and evolution	3
Emotion	1
Endoscopic ultrasound	1
Entropy	2
Environmental pollution	3
Environmental research	1
Environmental science & policy	1
Environmental science & technology	1
Environmental science and pollution research international	3
Environmental science. Nano	2
Epilepsia	1
Essays in Biochemistry	1
Essays in biochemistry	1
Euro Surveillance	2
EuroIntervention	3
European Child and Adolescent Psychiatry	3
European Eating Disorders Review	5
European Heart Journal	1
European Journal of Cardio-thoracic Surgery	2
European Journal of Clinical Investigation	2
European Journal of Emergency Medicine	1
European Journal of Human Genetics	1
European Journal of Immunology	1
European Journal of Neuroscience	1
European Journal of Ophthalmology	1
European Journal of Orthodontics	2
European Journal of Pediatric Surgery	1
European Journal of Pediatrics	2
European archives of psychiatry and clinical neuroscience	1
European journal of ageing	1
European journal of anaesthesiology	2
European journal of cancer	2
European journal of haematology	1
European journal of human genetics	1
European journal of internal medicine	1
European journal of neuroscience	1
European journal of oral implantology	1
European journal of orthodontics	1
European journal of population	1
European journal of preventive cardiology	1
European journal of surgical oncology	1
European journal of vascular and endovascular surgery	1
European neurology	1
European respiratory journal	3
Evaluation & the Health Professions	1
Experimental Gerontology	1
Experimental aging research	1
Experimental lung research	1
Expert Review of Vaccines	2
Expert opinion on pharmacotherapy	1
Expert opinion on therapeutic targets	1
Expert review of clinical pharmacology	1
Expert review of neurotherapeutics	1
Explore	1
Eye	1
F1000Research	1
FASEB Journal	1
FEBS letters	2
Family Process	1
Folia biologica	2
Food and chemical toxicology	1
Frontiers in Aging Neuroscience	1
Frontiers in Behavioral Neuroscience	1
Frontiers in Human Neuroscience	1
Frontiers in Immunology	12
Frontiers in Pharmacology	1
Frontiers in Psychology	2
Frontiers in aging neuroscience	3
Frontiers in cell and developmental biology	1
Frontiers in chemistry	1
Frontiers in human neuroscience	2
Frontiers in immunology	1
Frontiers in microbiology	2
Frontiers in molecular biosciences	2
Frontiers in molecular neuroscience	1
Frontiers in neural circuits	1
Frontiers in neurology	1
Frontiers in neurorobotics	1
Frontiers in neuroscience	3
Frontiers in oral health	2
Frontiers in pediatrics	1
Frontiers in physiology	2
Frontiers in psychology	8
Frontiers in public health	3
Frontiers in synaptic neuroscience	1
Frontiers in toxicology	1
Future oncology	1
Games for Health Journal	1
Gastric cancer	3
Gastroenterology	1
Genes & development	3
Genome Research	1
Geobiology	1
Geriatrics	1
Gerodontology	1
Giornale Italiano di Nefrologia	1
Global Change Biology	1
Glycobiology	1
Graefe's Archive for Clinical and Experimental Ophthalmology	4
Guoji yanke zazhi	1
Haematologica	5
Handbook of clinical neurology	1
Health and place	1
Health policy and planning	1
Health promotion international	1
Health promotion perspectives	1
Healthcare	1
Heart	1
Heart Rhythm	1
Heliyon	1
Hepatobiliary surgery and nutrition	1
Hepatology	1
Hippocampus	1
Human Movement Science	1
Human vaccines & immunotherapeutics	1
IEEE Transactions on Biomedical Circuits and Systems	1
IEEE transactions on medical imaging	1
Immunity	5
Immunogenetics	1
Immunotherapy	1
Implementation Science	1
In Vivo	6
Indian Journal of Medical Research	1
Infant Behavior and Development	1
Infant behavior & development	3
Infection and Immunity	1
Infection, genetics and evolution	1
Inorganic chemistry	4
Interactive Cardiovascular and Thoracic Surgery	2
International Journal for Equity in Health	2
International Journal of Antimicrobial Agents	1
International Journal of Cardiology	1
International Journal of Eating Disorders	2
International Journal of Epidemiology	3
International Journal of General Medicine	1
International Journal of Methods in Psychiatric Research	1
International Journal of Obesity	1
International Journal of Oral & Maxillofacial Implants	1
International Journal of Public Health	2
International Journal of Tuberculosis and Lung Disease	1
International Psychogeriatrics	2
International endodontic journal	1
International journal of environmental research and public health	10
International journal of epidemiology	1
International journal of health policy and management	1
International journal of molecular sciences	2
International journal of psychophysiology	2
International journal of public health	1
Investigative ophthalmology & visual science	1
JACC: Cardiovascular Interventions	3
JACS Au	1
JAMA	4
JAMA Ophthalmology	1
JAMA neurology	1
JAMA oncology	1
JBI evidence synthesis	1
JCI Insight	2
JCI insight	1
JEADV. Journal of the European Academy of Dermatology and Venereology	1
JMIR	1
JMIR mHealth and uHealth	1
JMIR medical informatics	1
JMIR research protocols	1
Journal de médecine et vie	1
Journal for Immunotherapy of Cancer	1
Journal for immunotherapy of cancer	1
Journal français d'ophtalmologie	4
Journal of Abnormal Psychology	1
Journal of Affective Disorders	1
Journal of Alzheimer's Disease	5
Journal of Alzheimer's disease	1
Journal of Antimicrobial Chemotherapy	2
Journal of Biological Chemistry	1
Journal of Cardiothoracic Surgery	1
Journal of Cell Science	1
Journal of Child Psychology and Psychiatry and Allied Disciplines	2
Journal of Clinical Epidemiology	1
Journal of Clinical Investigation	2
Journal of Clinical Psychiatry	1
Journal of Cognitive Neuroscience	1
Journal of Controlled Release	1
Journal of Dentistry	1
Journal of Developmental and Behavioral Pediatrics	1
Journal of Endocrinology	1
Journal of Epidemiology and Community Health	2
Journal of Evaluation in Clinical Practice	1
Journal of Experimental Medicine	1
Journal of Experimental Psychology: Human Perception and Performance	1
Journal of Family Issues	1
Journal of Glaucoma	14
Journal of Hematology & Oncology	1
Journal of Hepatology	1
Journal of Hip Preservation Surgery	1
Journal of Leukocyte Biology	2
Journal of Lipid Research	1
Journal of Molecular Biology	2
Journal of Neurochemistry	1
Journal of Neurological Surgery. A, Central European Neurosurgery	1
Journal of Neuromuscular Diseases	1
Journal of Neurophysiology	1
Journal of Neuroscience Methods	2
Journal of Ocular Pharmacology and Therapeutics	1
Journal of Oral Rehabilitation	3
Journal of Physics. Condensed Matter	1
Journal of Plastic Surgery and Hand Surgery	1
Journal of Plastic, Reconstructive & Aesthetic Surgery	3
Journal of Prosthetic Dentistry	1
Journal of Proteome Research	1
Journal of Psychiatric Research	1
Journal of Psychiatry and Neuroscience	1
Journal of Psychopharmacology	1
Journal of Psychosomatic Research	1
Journal of Tissue Engineering and Regenerative Medicine	1
Journal of Translational Medicine	1
Journal of Vascular Access	1
Journal of affective disorders	1
Journal of aging and physical activity	1
Journal of allergy and clinical immunology	1
Journal of autism and developmental disorders	1
Journal of biological chemistry	1
Journal of biomedical materials research. Part A	1
Journal of bone and joint surgery. American volume	1
Journal of cataract and refractive surgery	1
Journal of cell science	5
Journal of chemical theory and computation	1
Journal of child language	2
Journal of clinical anesthesia	1
Journal of clinical medicine	4
Journal of clinical monitoring and computing	1
Journal of clinical oncology	1
Journal of cognitive neuroscience	1
Journal of controlled release	1
Journal of deaf studies and deaf education	1
Journal of dental research	3
Journal of environmental management	1
Journal of experimental child psychology	1
Journal of experimental psychology. General	1
Journal of experimental psychology. Human perception and performance	1
Journal of experimental psychology. Human perception and performance.	2
Journal of experimental psychology. Learning, memory, and cognition.	1
Journal of geophysical research. Planets	1
Journal of geophysical research. Solid earth	1
Journal of glaucoma	2
Journal of hand surgery. European volume	1
Journal of hazardous materials	1
Journal of health psychology	1
Journal of healthcare informatics research	1
Journal of homosexuality	1
Journal of integrative Neuroscience	1
Journal of intellectual disabilities	1
Journal of internal medicine	1
Journal of magnetic resonance	2
Journal of materials chemistry. C	1
Journal of medical case reports	1
Journal of neuroinflammation	1
Journal of neurophysiology	1
Journal of neuroradiology	1
Journal of patient experience	4
Journal of periodontology	1
Journal of personality assessment	1
Journal of personality disorders	1
Journal of personalized medicine	1
Journal of physics. Condensed matter	2
Journal of proteome research	1
Journal of psychiatric research	1
Journal of speech, language, and hearing research	2
Journal of statistical physics	1
Journal of structural biology	1
Journal of synchrotron radiation	1
Journal of the American Academy of Child and Adolescent Psychiatry	1
Journal of the American Chemical Society	4
Journal of the American Heart Association	1
Journal of the American Heart Association. Cardiovascular and cerebrovascular disease	1
Journal of the American Society of Nephrology	1
Journal of the Endocrine Society	1
Journal of the Royal Society. Interface	1
Journal of vision	1
Journal of visualized experiments	3
Journal of voice	1
Kidney International	1
Klinische Monatsblätter für Augenheilkunde	3
L'Encéphale (Paris)	1
L'encéphale	1
Lab on a Chip	1
Lancet	1
Language and speech	1
Laryngo-, Rhino-, Otologie	1
Laterality	1
Lentiviral Vectors and Exosomes as Gene and Protein Delivery Tools	1
Leukemia	1
Leukemia and Lymphoma	1
MBio	1
MSphere	1
Magnetic Resonance Imaging	1
Magnetic resonance	1
Malaria Journal	1
Marine pollution bulletin	1
Memory	1
Meteoritics & planetary science	1
Methods and protocols	1
Methods in Cell Biology	1
Methods in Molecular Biology	3
Methods in enzymology	1
Methods in molecular biology	2
MethodsX	2
Microsurgery	1
Midwifery	2
Molecular Metabolism	1
Molecular Nutrition and Food Research	1
Molecular Oncology	1
Molecular Systems Biology	2
Molecular Therapy Oncolytics	1
Molecular and Cellular Endocrinology	1
Molecular and Cellular Proteomics	1
Molecular and cellular biology	1
Molecular biology of the cell	4
Molecular cell	2
Molecular metabolism	1
Molecular microbiology	1
Molecular neurodegeneration	1
Molecular systems biology	1
Molecular therapy	1
Multiple sclerosis	1
Muscle & Nerve	1
NPJ Schizophrenia	1
NPJ Vaccines	3
Nano letters	11
Nanomaterials	1
Nanoscale	1
Nanoscale advances	1
Nanotoxicology	1
Natural Product Reports	1
Nature	12
Nature Biomedical Engineering	2
Nature Biotechnology	2
Nature Cell Biology	1
Nature Communications	15
Nature Genetics	4
Nature Human Behaviour	1
Nature Immunology	2
Nature Medicine	1
Nature Microbiology	1
Nature Protocols	1
Nature Reviews Cancer	1
Nature Reviews Immunology	1
Nature Reviews Molecular Cell Biology	1
Nature biotechnology	2
Nature cell biology	2
Nature chemical biology	1
Nature chemistry	2
Nature communications	28
Nature ecology & evolution	1
Nature genetics	1
Nature human behaviour	2
Nature materials	4
Nature medicine	1
Nature methods	4
Nature microbiology	2
Nature nanotechnology	8
Nature physics	2
Nature reviews. Molecular cell biology	1
Nature structural & molecular biology	1
Nepalese Journal of Ophthalmology	1
Nephrology, dialysis, transplantation	1
Network neuroscience	1
NeuroImage	5
NeuroImage: Clinical	1
Neurobiology of Aging	4
Neurobiology of aging	5
Neurobiology of disease	2
Neurocritical Care	1
Neurodegenerative diseases	1
Neurology	2
Neuron	3
Neuropathology and applied neurobiology	1
Neurophysiologie Clinique / Clinical Neurophysiology	1
Neuropsychologia	3
Neuroscience and Biobehavioral Reviews	1
Neurovascular Events After Subarachnoid Hemorrhage	1
New England Journal of Medicine	1
Nicotine & tobacco research	2
Nucleic Acids Research	2
Nucleic acids research	6
Obesity Surgery	2
OncoImmunology	2
Oncoimmunology	1
Oncotarget	4
Open forum infectious diseases	1
Operative dentistry	1
Ophthalmologica	2
Ophthalmology and Therapy	1
Ophthalmology and therapy	1
Ophthalmology. Glaucoma	1
Oral Health and Preventive Dentistry	1
Organic letters	1
Otology & Neurotology	2
PCCP. Physical chemistry chemical physics	3
PLOS Computational Biology	1
PLOS ONE	6
PLOS Pathogens	1
PLOS computational biology	1
PLOS genetics	2
PLOS pathogens	1
PLoS biology	7
PLoS neglected tropical diseases	1
Pain	1
Pain reports	1
Pediatric Infectious Disease Journal	1
Pediatric blood & cancer	1
Pediatric transplantation	1
PeerJ	3
Periodontology 2000	1
Pharmaceutics	1
Pharmacology	1
Physica medica	1
Physical Review Letters	2
Physical chemistry chemical physics	1
Physical review letters	29
Physical review. E	1
Physics in medicine and biology	1
Physics of Life Reviews	1
Placenta	1
Plastic and Reconstructive Surgery	9
Plastic and Reconstructive Surgery, Global Open	3
Plastic and reconstructive surgery	2
Platelets	1
PloS ONE	1
PloS one	16
Praxis (Bern 1994)	1
Preventive Medicine	2
Primary Dental Journal	1
Proceedings - Royal Society. Biological Sciences	1
Proceedings of the National Academy of Sciences	3
Proceedings of the National Academy of Sciences of the United States of America	12
Progress in Lipid Research	1
Progress in Orthodontics	1
Prospects	1
Protein science	1
Proteomics. Clinical applications.	1
Psychological Medicine	1
Psychological research	1
Psychological science	2
Psychology & health	1
Psychology and Health	1
Psychology and Psychotherapy	1
Psychology and aging	1
Psychoneuroendocrinology	1
Psychonomic bulletin & review	3
Psychophysiology	4
Quality and user experience	1
Quality management in health care	1
Quality of Life Research	1
Quality of life research	1
RNA	1
RSC chemical biology	1
RSC medicinal chemistry	1
Radiation protection dosimetry	1
Recherche en soins infirmiers	1
Regenerative medicine	1
Renal Failure	1
Reports on progress in physics	1
Reproductive health	1
Research synthesis methods	1
Resuscitation plus	1
Retina	2
Review of scientific instruments	1
Reviews in medical virology	1
Revue des sciences médicales	1
Revue médicale suisse	19
Rheumatology	1
Royal Society open science	1
Scandinavian journal of public health	1
Schizophrenia Bulletin	2
Schizophrenia Research	5
Schizophrenia bulletin	1
Schizophrenia research	1
Science	7
Science Bulletin	1
Science Immunology	2
Science Signaling	2
Science Translational Medicine	6
Science advances	10
Science of the Total Environment	1
Science of the total environment	2
Science translational medicine	2
Scientific American	1
Scientific Reports	13
Scientific data	1
Scientific reports	30
Seminars in Immunology	3
Seminars in cell & developmental biology	1
Simulation in healthcare	1
Sleep	1
Social Psychiatry and Psychiatric Epidemiology	1
Social science & medicine	1
Social science research	1
Sociology of health & illness	1
Soins	1
South African Journal of Surgery	1
Stem cells	1
Stroke	1
Structural dynamics	1
Structure	5
Studies in health technology and informatics	2
Studies in history and philosophy of science	1
Substance abuse	1
Supportive Care in Cancer	1
Surgical Endoscopy	2
Sustainable water resources management	1
Swiss journal of geosciences	1
Swiss medical weekly	1
Synthese	1
The American Journal of Clinical Nutrition	4
The American journal of emergency medicine	1
The American journal of pathology	1
The Emotional Cerebellum	2
The European physical journal plus	1
The European physical journal. D, Atomic, molecular and optical physics	1
The FEBS journal	1
The ISME journal	1
The International journal of oral and maxillofacial implants	1
The Journal of Infectious Diseases	1
The Journal of Neuroscience	1
The Journal of Prosthetic Dentistry	2
The Journal of biological chemistry	1
The Journal of bone and joint surgery. American volume	1
The Journal of cell biology	5
The Journal of clinical endocrinology and metabolism	3
The Journal of experimental medicine	1
The Journal of infectious diseases	1
The Journal of neuroscience	1
The Journal of prosthetic dentistry	1
The Lancet Global Health	1
The Lancet. Child & adolescent health	1
The Lancet. Diabetes & endocrinology	2
The Lancet. Digital health	1
The Lancet. Global health	1
The Lancet. Planetary health	1
The Lancet. Public health	1
The New England journal of medicine	2
The New microbiologica	1
The Open Ophthalmology Journal	1
The Pediatric infectious disease journal	1
The Spanish journal of psychology	3
The international journal of aging & human development	1
The international journal of cardiovascular imaging	1
The international journal of esthetic dentistry	1
The international journal of prosthodontics	1
The journal of cell biology	1
The journal of clinical endocrinology & metabolism	1
The journal of clinical endocrinology and metabolism	5
The journal of heart and lung transplantation	2
The journal of infectious diseases	1
The journal of physical chemistry	1
The journal of physical chemistry letters	3
The journal of physical chemistry. B	5
The journals of gerontology. Series B, Psychological sciences and social sciences	1
The pediatric infectious disease journal	2
The quarterly journal of experimental psychology	2
The review of international organizations	1
Thyroid	1
Tomography	1
Toxicon. X	1
Translational lung cancer research	1
Transplant international	1
Transplantation	2
Travel medicine and infectious disease	1
Trends in ecology & evolution	1
Trends in parasitology	1
Tropical medicine and health	1
Tumor Immunology and Immunotherapy: Cellular Methods Part A	1
Vaccine	5
Virology Journal	1
Virology journal	1
Virulence	1
Vision Research	1
Visual cognition	1
Vojnosanitetski pregled	1
Wiley interdisciplinary reviews. RNA	1
Women's Health Issues	1
World Journal of Gastroenterology	1
World Neurosurgery	5
World journal of surgery	2
Zeitschrift für Rheumatologie	1
c-di-GMP Signaling : methods and protocols	1
eLife	8
iScience	2
microPublication biology	1
npj vaccines	1
