856_domain	date	DATA	BIOMED	discipline_clinical	discipline_basic	discipline_biology	discipline_pharma	discipline_affective	discipline_dentistry	discipline_medicine_general	discipline_neurosciences	FUNDER	FNS_FUNDER	EU_FUNDER
AAC.ASM.ORG	1995	0	1	1	0	0	0	0	0	0	0	0	0	0
AAC.ASM.ORG	1997	0	1	1	0	0	0	0	0	0	0	0	0	0
AAC.ASM.ORG	2008	0	1	1	0	0	0	0	0	0	0	0	0	0
AAC.ASM.ORG	2018	1	2	2	0	0	0	0	0	0	0	0	0	0
AACCADEMIA.IT	2022	0	0	0	0	0	0	0	0	0	0	0	0	0
AACIJOURNAL.BIOMEDCENTRAL.COM	2022	0	1	1	0	0	0	0	0	0	0	0	0	0
AACRJOURNALS.ORG	2004	0	1	0	0	1	0	0	0	0	0	0	0	0
AACRJOURNALS.ORG	2010	0	1	0	0	1	0	0	0	0	0	0	0	0
AACRJOURNALS.ORG	2011	0	1	0	0	1	0	0	0	0	0	0	0	0
AACRJOURNALS.ORG	2016	0	1	1	0	0	0	0	0	0	0	0	0	0
AACRJOURNALS.ORG	2019	0	1	0	0	1	0	0	0	0	0	0	0	0
AACRJOURNALS.ORG	2022	0	2	1	2	0	0	0	0	0	0	1	1	0
AACRJOURNALS.ORG	2023	0	2	2	0	0	0	0	0	0	0	0	0	0
AAIDDJOURNALS.ORG	2002	0	0	0	0	0	0	0	0	0	0	0	0	0
AAIDDJOURNALS.ORG	2008	0	0	0	0	0	0	0	0	0	0	0	0	0
AAIHS.ORG	2018	0	0	0	0	0	0	0	0	0	0	0	0	0
AAN.SAGEPUB.COM	2006	0	1	1	0	0	0	0	0	0	0	0	0	0
AAN.SAGEPUB.COM	2007	0	1	1	0	0	0	0	0	0	0	0	0	0
AANDA.ORG	2006	0	0	0	0	0	0	0	0	0	0	0	0	0
AANDA.ORG	2008	0	0	0	0	0	0	0	0	0	0	0	0	0
AANDA.ORG	2010	0	0	0	0	0	0	0	0	0	0	0	0	0
AANDA.ORG	2011	0	0	0	0	0	0	0	0	0	0	0	0	0
AANDA.ORG	2012	0	0	0	0	0	0	0	0	0	0	0	0	0
AANDA.ORG	2013	0	0	0	0	0	0	0	0	0	0	0	0	0
AANDA.ORG	2016	0	0	0	0	0	0	0	0	0	0	0	0	0
AANDA.ORG	2018	0	0	0	0	0	0	0	0	0	0	0	0	0
AANDA.ORG	2019	0	0	0	0	0	0	0	0	0	0	0	0	0
AANDA.ORG	2020	0	0	0	0	0	0	0	0	0	0	0	0	0
AANDA.ORG	2021	0	0	0	0	0	0	0	0	0	0	0	0	0
AANDA.ORG	2022	0	0	0	0	0	0	0	0	0	0	2	2	0
AANDA.ORG	2023	0	0	0	0	0	0	0	0	0	0	2	2	0
AANDA.ORG	2024	0	0	0	0	0	0	0	0	0	0	1	0	1
AAP.ONLINELIBRARY.WILEY.COM	2019	0	1	1	0	0	0	0	0	0	0	0	0	0
AAP.ONLINELIBRARY.WILEY.COM	2021	0	0	0	0	0	0	0	0	0	0	0	0	0
AAPM.ONLINELIBRARY.WILEY.COM	2020	0	5	5	0	0	0	0	0	0	2	2	2	0
AAPM.ONLINELIBRARY.WILEY.COM	2021	0	1	1	0	0	0	0	0	0	1	1	1	0
AAPM.ONLINELIBRARY.WILEY.COM	2022	0	1	1	0	0	0	0	0	0	0	1	1	0
AAPM.ONLINELIBRARY.WILEY.COM	2023	0	2	1	0	0	0	0	0	0	2	0	0	0
AAPM.ONLINELIBRARY.WILEY.COM	2024	0	4	4	0	0	0	0	0	0	2	4	3	1
AAPSOPEN.SPRINGEROPEN.COM	2018	1	1	1	0	0	0	0	0	0	0	1	1	0
AASLDPUBS.ONLINELIBRARY.WILEY.COM	2006	0	0	0	0	0	0	0	0	0	0	0	0	0
AASLDPUBS.ONLINELIBRARY.WILEY.COM	2008	0	0	0	0	0	0	0	0	0	0	0	0	0
AASLDPUBS.ONLINELIBRARY.WILEY.COM	2018	0	0	0	0	0	0	0	0	0	0	0	0	0
AASLDPUBS.ONLINELIBRARY.WILEY.COM	2021	0	2	2	1	0	0	0	0	0	0	0	0	0
AASLDPUBS.ONLINELIBRARY.WILEY.COM	2022	0	1	1	0	0	0	0	0	0	0	0	0	0
AB.PENSOFT.NET	2014	0	1	0	0	1	0	0	0	0	0	0	0	0
ABD-BVD.BE	2020	0	0	0	0	0	0	0	0	0	0	0	0	0
ABE.REVUES.ORG	2015	0	0	0	0	0	0	0	0	0	0	0	0	0
ABEBOOKS.COM	2007	0	0	0	0	0	0	0	0	0	0	1	1	0
ABLF.BE	2012	0	0	0	0	0	0	0	0	0	0	0	0	0
ABLF.BE	2015	0	0	0	0	0	0	0	0	0	0	0	0	0
ABPN.ORG.BR	2014	0	0	0	0	0	0	0	0	0	0	0	0	0
AC.ELS-CDN.COM	1992	0	0	0	0	0	0	0	0	0	0	0	0	0
AC.ELS-CDN.COM	1994	0	0	0	0	0	0	0	0	0	0	0	0	0
AC.ELS-CDN.COM	1996	0	0	0	0	0	0	0	0	0	0	0	0	0
AC.ELS-CDN.COM	2001	0	0	0	0	0	0	0	0	0	0	0	0	0
AC.ELS-CDN.COM	2003	0	0	0	0	0	0	0	0	0	0	0	0	0
AC.ELS-CDN.COM	2004	0	0	0	0	0	0	0	0	0	0	0	0	0
AC.ELS-CDN.COM	2006	0	0	0	0	0	0	0	0	0	0	0	0	0
AC.ELS-CDN.COM	2007	0	0	0	0	0	0	0	0	0	0	0	0	0
AC.ELS-CDN.COM	2010	0	104	85	27	0	1	0	2	3	0	0	0	0
AC.ELS-CDN.COM	2012	0	0	0	0	0	0	0	0	0	0	0	0	0
AC.ELS-CDN.COM	2013	0	0	0	0	0	0	0	0	0	0	0	0	0
AC.ELS-CDN.COM	2014	0	1	1	0	0	0	0	0	0	0	0	0	0
AC.ELS-CDN.COM	2017	0	2	2	0	0	0	0	0	0	0	0	0	0
ACA.SCITATION.ORG	2022	0	0	0	0	0	0	0	0	0	0	1	1	1
ACADEMIA.EDU	1999	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADEMIA.EDU	2018	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADEMIC.OUP.COM	1980	0	1	0	0	1	0	0	0	0	0	0	0	0
ACADEMIC.OUP.COM	1981	0	2	0	0	2	0	0	0	0	0	2	2	0
ACADEMIC.OUP.COM	1982	0	3	0	0	3	0	0	0	0	0	3	3	0
ACADEMIC.OUP.COM	1983	0	3	0	0	3	0	0	0	0	0	3	3	0
ACADEMIC.OUP.COM	1984	0	1	0	0	1	0	0	0	0	0	1	1	0
ACADEMIC.OUP.COM	1985	0	2	0	0	2	0	0	0	0	0	2	2	0
ACADEMIC.OUP.COM	1986	0	1	0	0	1	0	0	0	0	0	1	1	0
ACADEMIC.OUP.COM	1987	0	1	0	0	1	0	0	0	0	0	1	1	0
ACADEMIC.OUP.COM	1989	0	1	0	0	1	0	0	0	0	0	0	0	0
ACADEMIC.OUP.COM	1991	0	3	0	0	3	0	0	0	0	0	3	3	0
ACADEMIC.OUP.COM	1992	0	1	0	0	1	0	0	0	0	0	0	0	0
ACADEMIC.OUP.COM	1993	0	3	0	0	3	0	0	0	0	0	0	0	0
ACADEMIC.OUP.COM	1994	0	2	0	0	2	0	0	0	0	0	0	0	0
ACADEMIC.OUP.COM	1995	0	4	0	0	3	1	0	0	0	0	2	2	0
ACADEMIC.OUP.COM	1996	0	3	0	0	3	0	0	0	0	0	2	2	0
ACADEMIC.OUP.COM	1997	0	4	0	0	3	1	0	0	0	0	0	0	0
ACADEMIC.OUP.COM	1998	0	2	0	0	0	2	0	0	0	0	0	0	0
ACADEMIC.OUP.COM	2000	0	2	1	0	1	0	0	0	0	0	0	0	0
ACADEMIC.OUP.COM	2001	0	3	0	0	3	0	0	0	0	0	0	0	0
ACADEMIC.OUP.COM	2003	0	3	1	0	2	0	0	0	0	0	1	1	0
ACADEMIC.OUP.COM	2004	0	2	0	0	2	0	0	0	0	0	0	0	0
ACADEMIC.OUP.COM	2006	0	4	3	0	1	0	0	0	0	0	1	1	0
ACADEMIC.OUP.COM	2007	0	2	2	0	0	0	0	0	0	0	0	0	0
ACADEMIC.OUP.COM	2008	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADEMIC.OUP.COM	2009	0	1	1	0	0	0	0	0	0	0	0	0	0
ACADEMIC.OUP.COM	2010	0	2	2	0	0	0	0	0	0	0	0	0	0
ACADEMIC.OUP.COM	2011	0	1	0	0	1	0	0	0	0	0	0	0	0
ACADEMIC.OUP.COM	2012	0	3	1	0	2	0	0	0	0	0	1	1	0
ACADEMIC.OUP.COM	2013	0	3	0	0	3	0	0	0	0	0	1	1	0
ACADEMIC.OUP.COM	2014	0	3	1	0	2	0	0	0	0	0	3	3	0
ACADEMIC.OUP.COM	2015	0	4	1	1	2	0	0	0	0	0	3	3	1
ACADEMIC.OUP.COM	2016	0	3	0	1	2	0	0	0	0	0	5	5	0
ACADEMIC.OUP.COM	2017	0	9	4	4	1	0	0	3	0	0	4	4	3
ACADEMIC.OUP.COM	2018	2	30	26	3	2	0	0	0	0	0	11	8	4
ACADEMIC.OUP.COM	2019	2	36	31	3	4	1	5	0	0	0	15	15	1
ACADEMIC.OUP.COM	2020	0	58	50	11	3	1	5	0	0	0	28	26	6
ACADEMIC.OUP.COM	2021	1	68	57	12	4	3	1	0	0	1	30	25	5
ACADEMIC.OUP.COM	2022	0	75	57	12	11	1	6	0	3	2	26	23	6
ACADEMIC.OUP.COM	2023	0	69	63	8	2	1	7	0	0	1	31	30	1
ACADEMIC.OUP.COM	2024	0	13	7	4	4	0	1	0	0	0	6	6	0
ACADEMICJOURNALS.ORG	2011	0	1	0	0	1	0	0	0	0	0	0	0	0
ACADEMICRADIOLOGY.ORG	2002	0	1	1	0	0	0	0	0	0	0	0	0	0
ACADEMIE-SCIENCES.FR	2007	0	1	0	0	1	0	0	0	0	0	0	0	0
ACAMH.ONLINELIBRARY.WILEY.COM	2023	0	0	0	0	0	0	0	0	0	0	0	0	0
ACC.SAGEPUB.COM	2016	0	1	1	0	0	0	0	0	0	0	0	0	0
ACCELCONF.WEB.CERN.CH	2006	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCELCONF.WEB.CERN.CH	2009	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCELCONF.WEB.CERN.CH	2010	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCELCONF.WEB.CERN.CH	2012	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCELCONF.WEB.CERN.CH	2013	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCOUNT.RIPS-IRSP.COM	2023	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCOUNT.SWISSPSYCHOLOGYOPEN.COM	2023	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCOUNT.WORLDWIDEWASTEJOURNAL.COM	2023	0	0	0	0	0	0	0	0	0	0	0	0	0
ACELF.CA	2002	0	0	0	0	0	0	0	0	0	0	0	0	0
ACHILLEID.UNIGE.CH	2022	0	1	1	0	0	0	0	0	0	0	0	0	0
ACLANTHOLOGY.ORG	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
ACLANTHOLOGY.ORG	2020	0	2	2	0	0	0	0	0	0	0	0	0	0
ACLANTHOLOGY.ORG	2021	0	1	1	0	0	0	0	0	0	0	0	0	0
ACLANTHOLOGY.ORG	2022	0	1	1	0	0	0	0	0	0	0	0	0	0
ACLANTHOLOGY.ORG	2023	0	1	1	0	0	0	0	0	0	0	1	1	0
ACLANTHOLOGY.ORG	2024	0	0	0	0	0	0	0	0	0	0	1	1	0
ACLWEB.ORG	2003	0	0	0	0	0	0	0	0	0	0	0	0	0
ACLWEB.ORG	2006	0	0	0	0	0	0	0	0	0	0	0	0	0
ACLWEB.ORG	2009	0	0	0	0	0	0	0	0	0	0	0	0	0
ACLWEB.ORG	2010	0	0	0	0	0	0	0	0	0	0	1	1	0
ACLWEB.ORG	2011	0	0	0	0	0	0	0	0	0	0	0	0	0
ACLWEB.ORG	2012	0	0	0	0	0	0	0	0	0	0	0	0	0
ACLWEB.ORG	2014	0	0	0	0	0	0	0	0	0	0	0	0	0
ACLWEB.ORG	2016	0	0	0	0	0	0	0	0	0	0	0	0	0
ACLWEB.ORG	2017	0	1	1	0	0	0	0	0	0	0	0	0	0
ACLWEB.ORG	2018	0	0	0	0	0	0	0	0	0	0	0	0	0
ACLWEB.ORG	2019	0	0	0	0	0	0	0	0	0	0	0	0	0
ACME-JOURNAL.ORG	2019	0	0	0	0	0	0	0	0	0	0	0	0	0
ACME-JOURNAL.ORG	2021	0	0	0	0	0	0	0	0	0	0	0	0	0
ACME-JOURNAL.ORG	2024	0	0	0	0	0	0	0	0	0	0	0	0	0
ACN.OXFORDJOURNALS.ORG	2009	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP.COPERNICUS.ORG	2020	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP.COPERNICUS.ORG	2022	0	0	0	0	0	0	0	0	0	0	0	0	0
ACPJOURNALS.ORG	2020	0	1	1	0	0	0	0	0	0	0	1	1	1
ACPJOURNALS.ORG	2021	0	2	2	0	0	0	0	0	0	0	1	1	0
ACPJOURNALS.ORG	2022	0	3	3	0	0	0	0	0	0	0	0	0	0
ACRH.REVUES.ORG	2013	0	1	1	0	0	0	0	0	0	0	1	1	0
ACRJOURNALS.ONLINELIBRARY.WILEY.COM	2023	0	2	2	0	0	0	0	0	0	0	0	0	0
ACROLINX.COM	2015	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSJOURNALS.ONLINELIBRARY.WILEY.COM	1996	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSJOURNALS.ONLINELIBRARY.WILEY.COM	2022	0	1	1	0	0	0	0	0	0	0	0	0	0
ACTA-GASTROENTEROLOGICA.BE	2010	0	1	0	1	0	0	0	0	0	0	0	0	0
ACTA.STRUCTURALICA.ORG	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTABP.PL	2011	0	1	0	1	0	0	0	0	0	0	0	0	0
ACTANEUROCOMMS.BIOMEDCENTRAL.COM	2019	0	1	1	0	0	0	0	0	0	0	0	0	0
ACTANEUROCOMMS.BIOMEDCENTRAL.COM	2022	0	1	0	1	0	0	0	0	0	0	1	1	0
ACTAORTHOP.ORG	2022	0	1	1	0	0	0	0	0	0	0	0	0	0
ACTAORTHOP.ORG	2024	0	1	1	0	0	0	0	0	0	0	0	0	0
ACTAORTHOPAEDICA.BE	2004	0	1	1	0	0	0	0	0	0	0	0	0	0
ACTIVITES.ORG	2014	0	0	0	0	0	0	0	0	0	0	0	0	0
ACYIG.AMERICANANTHRO.ORG	2022	0	0	0	0	0	0	0	0	0	0	0	0	0
ADC.BMJ.COM	2010	0	2	2	1	0	0	0	0	0	0	0	0	0
ADC.BMJ.COM	2019	0	1	1	0	0	0	0	0	0	0	1	1	0
ADC.BMJ.COM	2020	0	2	2	0	0	0	0	0	0	0	1	1	0
ADC.BMJ.COM	2021	0	1	1	0	0	0	0	0	0	0	0	0	0
ADC.BMJ.COM	2022	0	1	1	0	0	0	0	0	0	0	0	0	0
ADDICTIONSUISSE.CH	2009	0	1	1	0	0	0	0	0	0	0	0	0	0
ADEB-ASSO.ORG	2022	0	0	0	0	0	0	0	0	0	0	0	0	0
ADISONLINE.COM	1999	0	1	1	0	0	0	0	0	0	0	0	0	0
ADISONLINE.COM	2009	0	1	1	0	0	0	0	0	0	0	0	0	0
ADMEE.ULG.AC.BE	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
ADMEE2012.UNI.LU	2012	0	0	0	0	0	0	0	0	0	0	0	0	0
ADMEE2015.SCIENCESCONF.ORG	2015	0	0	0	0	0	0	0	0	0	0	0	0	0
ADMEEGP2022.SCIENCESCONF.ORG	2022	0	0	0	0	0	0	0	0	0	0	0	0	0
ADNI.LONI.USC.EDU	2021	2	2	2	0	0	0	0	0	0	0	1	0	1
ADNI.LONI.USC.EDU	2022	2	2	2	0	0	0	0	0	0	0	2	2	1
ADNI.LONI.USC.EDU	2023	1	1	1	0	0	0	0	0	0	1	0	0	0
ADSABS.HARVARD.EDU	2013	0	0	0	0	0	0	0	0	0	0	0	0	0
ADVANCES.SCIENCEMAG.ORG	2020	0	2	1	2	0	0	1	0	0	1	3	3	0
ADVANCES.SCIENCEMAG.ORG	2021	0	2	0	2	1	0	0	0	0	0	2	2	0
ADVANCESINRHEUMATOLOGY.BIOMEDCENTRAL.COM	2019	0	1	1	0	0	0	0	0	0	0	0	0	0
ADVANCESINSIMULATION.BIOMEDCENTRAL.COM	2022	0	0	0	0	0	0	0	0	0	0	0	0	0
AEHMO.ORG	2021	0	0	0	0	0	0	0	0	0	0	0	0	0
AEI.PITT.EDU	1993	0	0	0	0	0	0	0	0	0	0	0	0	0
AEM.ASM.ORG	2008	0	2	1	1	0	0	0	0	0	0	0	0	0
AEMG.UNIGE.CH	2008	0	1	1	0	0	0	0	0	0	0	0	0	0
AERJOURNAL.COM	2019	0	1	1	0	0	0	0	0	0	0	0	0	0
AERJOURNAL.COM	2022	0	1	1	0	0	0	0	0	0	0	0	0	0
AESTHETICINVESTIGATIONS.EU	2020	0	1	0	0	0	0	1	0	0	0	1	1	0
AFAJOF.ORG	2020	0	0	0	0	0	0	0	0	0	0	0	0	0
AFB.ORG	2002	0	0	0	0	0	0	0	0	0	0	0	0	0
AFCP-PAROLE.ORG	1996	0	0	0	0	0	0	0	0	0	0	1	1	0
AFCP-PAROLE.ORG	2002	0	0	0	0	0	0	0	0	0	0	0	0	0
AFCP-PAROLE.ORG	2004	0	0	0	0	0	0	0	0	0	0	1	1	0
AFCP-PAROLE.ORG	2006	0	0	0	0	0	0	0	0	0	0	0	0	0
AFCP-PAROLE.ORG	2008	0	0	0	0	0	0	0	0	0	0	0	0	0
AFCP-PAROLE.ORG	2010	0	0	0	0	0	0	0	0	0	0	0	0	0
AFD.FR	2020	1	0	0	0	0	0	0	0	0	0	0	0	0
AFD.FR	2021	1	0	0	0	0	0	0	0	0	0	0	0	0
AFEC-INFO.ORG	2006	0	0	0	0	0	0	0	0	0	0	0	0	0
AFES-PRESS.DE	2004	0	0	0	0	0	0	0	0	0	0	0	0	0
AFMU.REVUESONLINE.COM	2019	0	1	0	0	0	0	0	0	1	0	0	0	0
AFRICAMUSEUM.BE	2017	0	4	0	0	4	0	0	0	0	0	4	4	0
AFRICAN-ARCHAEOLOGY.DE	2012	0	1	0	0	1	0	0	0	0	0	0	0	0
AFRICANRHETORIC.ORG	2015	0	0	0	0	0	0	0	0	0	0	0	0	0
AGEING.OXFORDJOURNALS.ORG	2005	0	1	1	0	0	0	0	0	0	0	0	0	0
AGEING.OXFORDJOURNALS.ORG	2008	0	1	1	1	0	0	0	0	0	0	0	0	0
AGEING.OXFORDJOURNALS.ORG	2009	0	2	1	0	0	0	0	0	1	0	0	0	0
AGEING.OXFORDJOURNALS.ORG	2010	0	2	2	0	0	0	0	0	0	0	0	0	0
AGING-US.COM	2011	0	0	0	0	0	0	0	0	0	0	0	0	0
AGING-US.COM	2020	0	1	0	1	0	0	0	0	0	0	1	1	0
AGIS11.ORG	2011	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRONOMY-JOURNAL.ORG	1992	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRONOMY-JOURNAL.ORG	1996	0	0	0	0	0	0	0	0	0	0	0	0	0
AGSJOURNALS.ONLINELIBRARY.WILEY.COM	2001	0	1	1	0	0	0	0	0	0	0	0	0	0
AGU.ORG	2003	0	0	0	0	0	0	0	0	0	0	0	0	0
AGU.ORG	2005	0	0	0	0	0	0	0	0	0	0	0	0	0
AGU.ORG	2006	0	0	0	0	0	0	0	0	0	0	0	0	0
AGU.ORG	2007	0	0	0	0	0	0	0	0	0	0	0	0	0
AGU.ORG	2009	0	0	0	0	0	0	0	0	0	0	0	0	0
AGU.ORG	2010	0	0	0	0	0	0	0	0	0	0	0	0	0
AGU.ORG	2011	0	0	0	0	0	0	0	0	0	0	0	0	0
AGU.ORG	2012	0	0	0	0	0	0	0	0	0	0	0	0	0
AGUPUBS.ONLINELIBRARY.WILEY.COM	2019	0	0	0	0	0	0	0	0	0	0	0	0	0
AGUPUBS.ONLINELIBRARY.WILEY.COM	2020	0	0	0	0	0	0	0	0	0	0	0	0	0
AGUPUBS.ONLINELIBRARY.WILEY.COM	2023	0	0	0	0	0	0	0	0	0	0	1	0	1
AGUPUBS.ONLINELIBRARY.WILEY.COM	2024	0	0	0	0	0	0	0	0	0	0	0	0	0
AHAJOURNALS.ORG	2004	0	0	0	0	0	0	0	0	0	0	0	0	0
AHAJOURNALS.ORG	2008	0	0	0	0	0	0	0	0	0	0	0	0	0
AHAJOURNALS.ORG	2010	0	0	0	0	0	0	0	0	0	0	0	0	0
AHAJOURNALS.ORG	2011	1	2	2	0	0	0	0	0	0	0	1	0	1
AHAJOURNALS.ORG	2012	0	0	0	0	0	0	0	0	0	0	2	2	0
AHAJOURNALS.ORG	2015	0	0	0	0	0	0	0	0	0	0	0	0	0
AHAJOURNALS.ORG	2016	0	1	0	1	1	0	0	0	0	0	0	0	0
AHAJOURNALS.ORG	2017	2	2	2	0	0	0	0	0	0	0	2	2	0
AHAJOURNALS.ORG	2018	1	3	3	1	0	0	0	0	0	0	0	0	0
AHAJOURNALS.ORG	2019	0	3	3	0	0	0	0	0	0	0	0	0	0
AHAJOURNALS.ORG	2020	0	5	4	1	0	0	0	0	0	0	5	5	1
AHAJOURNALS.ORG	2021	0	2	2	0	0	0	0	0	0	0	0	0	0
AHAJOURNALS.ORG	2022	0	4	4	0	0	0	0	0	0	0	1	1	0
AHAJOURNALS.ORG	2023	0	2	2	0	0	0	0	0	0	0	0	0	0
AHAJOURNALS.ORG	2024	0	1	1	1	0	0	0	0	0	0	0	0	0
AHBPS.ORG	2021	0	1	1	0	0	0	0	0	0	0	0	0	0
AI.JMIR.ORG	2024	0	1	1	0	0	0	0	0	0	0	0	0	0
AIBL.CSIRO.AU	2021	1	1	1	0	0	0	0	0	0	0	0	0	0
AICVF.ORG	2024	0	0	0	0	0	0	0	0	0	0	0	0	0
AIDAINFORMAZIONI.IT	2008	0	0	0	0	0	0	0	0	0	0	0	0	0
AIDSHILFE.DE	2008	0	3	3	0	0	0	0	0	0	0	0	0	0
AIETI.EU	2022	0	0	0	0	0	0	0	0	0	0	0	0	0
AIETI.EU	2023	0	0	0	0	0	0	0	0	0	0	0	0	0
AIIC.NET	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
AIMSCI.COM	2018	0	0	0	0	0	0	0	0	0	0	1	1	0
AIMSCIENCES.ORG	2010	0	0	0	0	0	0	0	0	0	0	0	0	0
AIMSCIENCES.ORG	2015	0	0	0	0	0	0	0	0	0	0	0	0	0
AIMSPRESS.COM	2023	0	1	1	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	1962	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	1963	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	1990	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	1992	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	1993	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	1994	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	1995	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	1997	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	1998	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	1999	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	2000	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	2002	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	2003	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	2004	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	2005	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	2006	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	2007	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	2008	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	2009	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	2010	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	2011	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	2013	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	2014	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	2015	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	2016	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	2018	0	0	0	0	0	0	0	0	0	0	0	0	0
AIP.SCITATION.ORG	2019	0	0	0	0	0	0	0	0	0	0	2	2	0
AIP.SCITATION.ORG	2020	0	0	0	0	0	0	0	0	0	0	5	2	4
AIP.SCITATION.ORG	2021	0	0	0	0	0	0	0	0	0	0	1	1	0
AIP.SCITATION.ORG	2022	0	0	0	0	0	0	0	0	0	0	1	1	1
