PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35250849","Editorial: Beyond Bariatric Surgery: Expected and Unexpected Long-Term Evolution","Schutz Y, Pataky Z.","Front Endocrinol (Lausanne). 2022 Feb 16;12:838892. doi: 10.3389/fendo.2021.838892. eCollection 2021.","Schutz Y","Front Endocrinol (Lausanne)","2022","2022/03/07","PMC8888403","","10.3389/fendo.2021.838892"
"33113210","Is there a role for childhood vaccination against COVID-19?","Eberhardt CS, Siegrist CA.","Pediatr Allergy Immunol. 2021 Jan;32(1):9-16. doi: 10.1111/pai.13401. Epub 2020 Nov 20.","Eberhardt CS","Pediatr Allergy Immunol","2021","2020/10/28","","","10.1111/pai.13401"
"33895794","How I treat dysfibrinogenemia","Casini A, de Moerloose P.","Blood. 2021 Nov 25;138(21):2021-2030. doi: 10.1182/blood.2020010116.","Casini A","Blood","2021","2021/04/25","","","10.1182/blood.2020010116"
"36406708","FGF21 negatively affects long-term female fertility in mice","Moeckli B, Pham TV, Slits F, Latrille S, Peloso A, Delaune V, Oldani G, Lacotte S, Toso C.","Heliyon. 2022 Nov 11;8(11):e11490. doi: 10.1016/j.heliyon.2022.e11490. eCollection 2022 Nov.","Moeckli B","Heliyon","2022","2022/11/21","PMC9667250","","10.1016/j.heliyon.2022.e11490"
"34743248","Intracranial aneurysm wall (in)stability-current state of knowledge and clinical perspectives","Morel S, Bijlenga P, Kwak BR.","Neurosurg Rev. 2022 Apr;45(2):1233-1253. doi: 10.1007/s10143-021-01672-5. Epub 2021 Nov 6.","Morel S","Neurosurg Rev","2022","2021/11/07","PMC8976821","","10.1007/s10143-021-01672-5"
"35916869","Periodontitis and peri-implantitis in elderly people experiencing institutional and hospital confinement","Müller F, Srinivasan M, Krause KH, Schimmel M.","Periodontol 2000. 2022 Oct;90(1):138-145. doi: 10.1111/prd.12454. Epub 2022 Aug 2.","Müller F","Periodontol 2000","2022","2022/08/02","PMC9804296","","10.1111/prd.12454"
"35510282","[Parasite screening for immunosuppressed traveler]","Carnino L, Schwob JM, Pfeffer S, Eperon G.","Rev Med Suisse. 2022 May 4;18(780):898-902. doi: 10.53738/REVMED.2022.18.780.898.","Carnino L","Rev Med Suisse","2022","2022/05/05","","","10.53738/REVMED.2022.18.780.898"
"33803620","Emerging Trends for Radio-Immunotherapy in Rectal Cancer","Corrò C, Dutoit V, Koessler T.","Cancers (Basel). 2021 Mar 18;13(6):1374. doi: 10.3390/cancers13061374.","Corrò C","Cancers (Basel)","2021","2021/04/03","PMC8003099","","10.3390/cancers13061374"
"34704679","[Role of point-of-care ultrasonography in the management of heart failure]","Leidi A, Karege G, Salamun J, Stirnemann J, Grosgurin O, Leszek A.","Rev Med Suisse. 2021 Oct 27;17(756):1830-1833.","Leidi A","Rev Med Suisse","2021","2021/10/27","","",""
"34929652","Application of virtual reality in neurosurgery: Patient missing. A systematic review","Vayssiere P, Constanthin PE, Herbelin B, Blanke O, Schaller K, Bijlenga P.","J Clin Neurosci. 2022 Jan;95:55-62. doi: 10.1016/j.jocn.2021.11.031. Epub 2021 Dec 5.","Vayssiere P","J Clin Neurosci","2022","2021/12/20","","","10.1016/j.jocn.2021.11.031"
"36028087","The urobiome in men and women: a clinical review","Roth RS, Liden M, Huttner A.","Clin Microbiol Infect. 2023 Oct;29(10):1242-1248. doi: 10.1016/j.cmi.2022.08.010. Epub 2022 Aug 24.","Roth RS","Clin Microbiol Infect","2023","2022/08/26","","","10.1016/j.cmi.2022.08.010"
"34970171","Coercive Measures in Psychiatry: A Review of Ethical Arguments","Chieze M, Clavien C, Kaiser S, Hurst S.","Front Psychiatry. 2021 Dec 14;12:790886. doi: 10.3389/fpsyt.2021.790886. eCollection 2021.","Chieze M","Front Psychiatry","2021","2021/12/31","PMC8712490","","10.3389/fpsyt.2021.790886"
"34440855","Cell Therapy for Anal Sphincter Incontinence: Where Do We Stand?","Balaphas A, Meyer J, Meier RPH, Liot E, Buchs NC, Roche B, Toso C, Bühler LH, Gonelle-Gispert C, Ris F.","Cells. 2021 Aug 13;10(8):2086. doi: 10.3390/cells10082086.","Balaphas A","Cells","2021","2021/08/27","PMC8394955","","10.3390/cells10082086"
"35327425","Neurodevelopmental Disorders: From Pathophysiology to Novel Therapeutic Approaches","Kosel M, Perroud N.","Biomedicines. 2022 Mar 7;10(3):623. doi: 10.3390/biomedicines10030623.","Kosel M","Biomedicines","2022","2022/03/25","PMC8945040","","10.3390/biomedicines10030623"
"35104444","The current pediatric perspective on type B and C hepatic encephalopathy","McLin VA, D'Antiga L.","Anal Biochem. 2022 Apr 15;643:114576. doi: 10.1016/j.ab.2022.114576. Epub 2022 Jan 29.","McLin VA","Anal Biochem","2022","2022/02/01","","","10.1016/j.ab.2022.114576"
"36215865","Influence of the type of electrodes in the assessment of body composition by bioelectrical impedance analysis in the supine position","Dupertuis YM, Pereira AG, Karsegard VL, Hemmer A, Biolley E, Collet TH, Genton L.","Clin Nutr. 2022 Nov;41(11):2455-2463. doi: 10.1016/j.clnu.2022.09.008. Epub 2022 Sep 16.","Dupertuis YM","Clin Nutr","2022","2022/10/10","","","10.1016/j.clnu.2022.09.008"
"34787969","[Diaphragmatic assessment by ultrasonography]","Kharat A, Plojoux J.","Rev Med Suisse. 2021 Nov 17;17(759):1962-1966.","Kharat A","Rev Med Suisse","2021","2021/11/17","","",""
"33333439","Association of ADHD and hypersexuality and paraphilias","Soldati L, Bianchi-Demicheli F, Schockaert P, Köhl J, Bolmont M, Hasler R, Perroud N.","Psychiatry Res. 2021 Jan;295:113638. doi: 10.1016/j.psychres.2020.113638. Epub 2020 Dec 10.","Soldati L","Psychiatry Res","2021","2020/12/17","","","10.1016/j.psychres.2020.113638"
"35283306","Caring for older adults during the COVID-19 pandemic","Prendki V, Tiseo G, Falcone M; ESCMID Study Group for Infections in the Elderly (ESGIE).","Clin Microbiol Infect. 2022 Jun;28(6):785-791. doi: 10.1016/j.cmi.2022.02.040. Epub 2022 Mar 11.","Prendki V","Clin Microbiol Infect","2022","2022/03/14","PMC8912971","","10.1016/j.cmi.2022.02.040"
"35678347","[Mobile phone applications for addiction treatment]","Penzenstadler L, Thorens G, Bachmann S.","Rev Med Suisse. 2022 Jun 8;18(785):1157-1160. doi: 10.53738/REVMED.2022.18.785.1157.","Penzenstadler L","Rev Med Suisse","2022","2022/06/09","","","10.53738/REVMED.2022.18.785.1157"
"34376282","Definition: Visual object agnosia","Ptak R.","Cortex. 2021 Oct;143:281. doi: 10.1016/j.cortex.2021.07.007. Epub 2021 Jul 24.","Ptak R","Cortex","2021","2021/08/11","","","10.1016/j.cortex.2021.07.007"
"33128290","Brainstem progressive multifocal leukoencephalopathy","Breville G, Koralnik IJ, Lalive PH.","Eur J Neurol. 2021 Mar;28(3):1016-1021. doi: 10.1111/ene.14617. Epub 2020 Dec 1.","Breville G","Eur J Neurol","2021","2020/10/31","PMC8660572","NIHMS1759266","10.1111/ene.14617"
"33527751","Timing of VV-ECMO therapy implementation influences prognosis of COVID-19 patients","Giraud R, Legouis D, Assouline B, De Charriere A, Decosterd D, Brunner ME, Moret-Bochatay M, Fumeaux T, Bendjelid K.","Physiol Rep. 2021 Feb;9(3):e14715. doi: 10.14814/phy2.14715.","Giraud R","Physiol Rep","2021","2021/02/02","PMC7851435","","10.14814/phy2.14715"
"35000888","Surgical Treatments of Chronic Vulvar Pain After Female Genital Mutilation/Cutting","Bazzoun Y, Aerts L, Abdulcadir J.","J Sex Med. 2022 Feb;19(2):290-301. doi: 10.1016/j.jsxm.2021.11.010. Epub 2022 Jan 6.","Bazzoun Y","J Sex Med","2022","2022/01/10","","","10.1016/j.jsxm.2021.11.010"
"35702520","A COVID-19-Related Retinopathy Case Report","Riotto E, Mégevand V, Mégevand A, Marti C, Pugin J, Stangos AN, Pournaras CJ, Sunaric Mégevand G.","Case Rep Ophthalmol. 2022 Apr 22;13(1):297-304. doi: 10.1159/000524195. eCollection 2022 Jan-Apr.","Riotto E","Case Rep Ophthalmol","2022","2022/06/15","PMC9149546","","10.1159/000524195"
"32816362","Preventing pain after breast surgery: A systematic review with meta-analyses and trial-sequential analyses","Lepot A, Elia N, Tramèr MR, Rehberg B.","Eur J Pain. 2021 Jan;25(1):5-22. doi: 10.1002/ejp.1648. Epub 2020 Oct 4.","Lepot A","Eur J Pain","2021","2020/08/21","","","10.1002/ejp.1648"
"35796763","Acute symptomatic seizures and hippocampal sclerosis: the major contributor for post-stroke epilepsy?","Stancu P, De Stefano P, Vargas M, Menetre E, Carrera E, Kleinschmidt A, Seeck M.","J Neurol. 2022 Nov;269(11):5934-5939. doi: 10.1007/s00415-022-11254-0. Epub 2022 Jul 7.","Stancu P","J Neurol","2022","2022/07/07","PMC9553845","","10.1007/s00415-022-11254-0"
"34673724","General Anesthesia and Progression of Parkinson Disease: A Shaky Association","Crosby G, Vutskits L.","Anesth Analg. 2021 Nov 1;133(5):1138-1139. doi: 10.1213/ANE.0000000000005735.","Crosby G","Anesth Analg","2021","2021/10/21","","","10.1213/ANE.0000000000005735"
"36170130","[Major change in asthma management]","Akhmetova L, Cucchiara R, Charbonnier F, Sommer J, Salamun J.","Rev Med Suisse. 2022 Sep 28;18(797):1788-1791. doi: 10.53738/REVMED.2022.18.797.1788.","Akhmetova L","Rev Med Suisse","2022","2022/09/28","","","10.53738/REVMED.2022.18.797.1788"
"34283894","The role of sFlt1/PlGF ratio in the assessment of preeclampsia and pregnancy-related hypertensive disorders","Baert J, McCarey C, Berkane N, Martinez de Tejada B, Vial Y, Rieder W.","Swiss Med Wkly. 2021 Jul 14;151:w20533. doi: 10.4414/smw.2021.20533. eCollection 2021 Jul 5.","Baert J","Swiss Med Wkly","2021","2021/07/20","","","10.4414/smw.2021.20533"
"32341062","Drug-Evoked Synaptic Plasticity of Excitatory Transmission in the Ventral Tegmental Area","Bellone C, Loureiro M, Lüscher C.","Cold Spring Harb Perspect Med. 2021 Apr 1;11(4):a039701. doi: 10.1101/cshperspect.a039701.","Bellone C","Cold Spring Harb Perspect Med","2021","2020/04/29","PMC8015696","","10.1101/cshperspect.a039701"
"36343659","Prequalification of insulin: what is missing?","Beran D, Giachino M, Perrin C, Macé C.","Lancet Diabetes Endocrinol. 2022 Dec;10(12):842-843. doi: 10.1016/S2213-8587(22)00316-3. Epub 2022 Nov 4.","Beran D","Lancet Diabetes Endocrinol","2022","2022/11/07","","","10.1016/S2213-8587(22)00316-3"
"35269843","NADPH Oxidase 4 (NOX4) in Cancer: Linking Redox Signals to Oncogenic Metabolic Adaptation","Szanto I.","Int J Mol Sci. 2022 Feb 28;23(5):2702. doi: 10.3390/ijms23052702.","Szanto I","Int J Mol Sci","2022","2022/03/10","PMC8910662","","10.3390/ijms23052702"
"33108920","Preterm prelabor rupture of membranes management in Switzerland: a national survey","Migliorelli F, Martin C, Martínez de Tejada B.","J Matern Fetal Neonatal Med. 2022 Oct;35(19):3743-3750. doi: 10.1080/14767058.2020.1839878. Epub 2020 Oct 27.","Migliorelli F","J Matern Fetal Neonatal Med","2022","2020/10/28","","","10.1080/14767058.2020.1839878"
"34960142","Vaccination against Cancer or Infectious Agents during Checkpoint Inhibitor Therapy","Nasti TH, Eberhardt CS.","Vaccines (Basel). 2021 Nov 25;9(12):1396. doi: 10.3390/vaccines9121396.","Nasti TH","Vaccines (Basel)","2021","2021/12/28","PMC8706349","","10.3390/vaccines9121396"
"34764839","Restricted, optimized or liberal fluid strategy in thoracic surgery: A narrative review","Licker M, Hagerman A, Bedat B, Ellenberger C, Triponez F, Schorer R, Karenovics W.","Saudi J Anaesth. 2021 Jul-Sep;15(3):324-334. doi: 10.4103/sja.sja_1155_20. Epub 2021 Jun 19.","Licker M","Saudi J Anaesth","2021","2021/11/12","PMC8579501","","10.4103/sja.sja_1155_20"
"35292499","Improving safety of unfractionated heparin: a retrospective, quasi-experimental, observational study of the impact of a pocket card and a computerised prescription aid tool in the University Hospitals of Geneva","Jimaja WE, Stirnemann J, Fontana P, Blondon KS.","BMJ Open. 2022 Mar 15;12(3):e056912. doi: 10.1136/bmjopen-2021-056912.","Jimaja WE","BMJ Open","2022","2022/03/16","PMC8928257","","10.1136/bmjopen-2021-056912"
"36252507","Heterogeneity of definitions and measurements of binge drinking in research on adolescents and young adults","Hasselgård-Rowe J, Senchyna A, Broers B, Haller DM.","Drug Alcohol Depend. 2022 Dec 1;241:109650. doi: 10.1016/j.drugalcdep.2022.109650. Epub 2022 Sep 30.","Hasselgård-Rowe J","Drug Alcohol Depend","2022","2022/10/17","","","10.1016/j.drugalcdep.2022.109650"
"34333474","Evaluation of the effect of standard neuronavigation and augmented reality on the integrity of the perifocal structures during a neurosurgical approach","Davidovic A, Chavaz L, Meling TR, Schaller K, Bijlenga P, Haemmerli J.","Neurosurg Focus. 2021 Aug;51(2):E19. doi: 10.3171/2021.5.FOCUS21202.","Davidovic A","Neurosurg Focus","2021","2021/08/01","","","10.3171/2021.5.FOCUS21202"
"33769715","Sphingosine-1-phosphate as a key player of insulin secretion induced by high-density lipoprotein treatment","Brulhart-Meynet MC, Thomas A, Sidibé J, Visentin F, Dusaulcy R, Schwitzgebel V, Pataky Z, Philippe J, Vuilleumier N, James RW, Gosmain Y, Frias MA.","Physiol Rep. 2021 Mar;9(6):e14786. doi: 10.14814/phy2.14786.","Brulhart-Meynet MC","Physiol Rep","2021","2021/03/26","PMC7995544","","10.14814/phy2.14786"
